Rank,University Incubator,Founder Count,Company Count,Capital Raised,Change vs 2024,Institution,Short name
1,"University of California, Berkeley","1,804","1,650",$69.0B,0,University of California-Berkeley,UC Berkeley
2,Stanford University,"1,519","1,380",$102.2B,0,Stanford University,Stanford
3,Harvard University,"1,355","1,237",$61.6B,0,Harvard University,Harvard
4,University of Pennsylvania,"1,206","1,113",$120.4B,1,University of Pennsylvania,Penn
5,Massachusetts Institute of Technology (MIT),"1,131","1,019",$69.8B,-1,Massachusetts Institute of Technology,MIT
6,Cornell University,944,903,$42.8B,0,Cornell University,Cornell
7,Tel Aviv University,865,736,$30.0B,0,Tel Aviv University,TAU
8,"University of Texas, Austin",850,774,$24.0B,1,University of Texas at Austin,UT Austin
9,"University of Michigan, Ann Arbor",845,787,$30.2B,-1,University of Michigan - Ann Arbor,U-M
10,Technion – Israel Institute of Technology,783,671,$26.7B,3,Technion - Israel Institute of Technology,Technion
11,"University of Illinois, Urbana- Champaign",751,691,$26.6B,-1,University of Illinois at Urbana-Champaign,UIUC
12,Yale University,710,665,$33.8B,-1,Yale University,Yale
13,"University of California, Los Angeles (UCLA)",679,658,$17.0B,-1,University of California-Los Angeles,UCLA
14,Columbia University,671,634,$19.0B,1,Columbia University,Columbia
15,Princeton University,656,614,$27.1B,-1,Princeton University,Princeton
16,University of Southern California (USC),644,595,$32.8B,0,University of Southern California,USC
17,University of Toronto,643,587,$75.6B,10,University of Toronto,U of T
18,University of Waterloo,639,527,$14.1B,4,University of Waterloo,Waterloo
19,"Indian Institute of Technology, Bombay",627,490,$20.2B,6,Indian Institute of Technology Bombay, IIT Bombay
20,Duke University,625,599,$25.2B,-3,Duke University,Duke
21,Northwestern University,588,545,$22.6B,-2,Northwestern University,NU
22,McGill University,586,536,$21.0B,1,McGill University Canada,McGill
23,New York University,584,556,$16.2B,-3,New York University,NYU
24,Brown University,547,511,$33.5B,-6,Brown University,Brown
25,Tsinghua University,545,512,$37.3B,5,Tsinghua University,Tsinghua
26,"Indian Institute of Technology, Delhi",540,462,$24.7B,12,Indian Institute of Technology Delhi, IIT Delhi
27,"University of Wisconsin, Madison",526,483,$12.8B,-6,University of Wisconsin-Madison,UW-Madison
28,Carnegie Mellon University,499,457,$15.6B,-4,Carnegie Mellon University,CMU
29,Brigham Young University,491,408,$8.9B,-3,Brigham Young University,BYU
30,Hebrew University,466,413,$15.1B,-1,Hebrew University of Jerusalem,HUJI
31,"University of Virginia, Charlottesville",460,439,$12.6B,1,University of Virginia,UVA
32,"University of Washington, Seattle",454,419,$73.3B,-4,"University of Washington, Seattle",UW
33,Georgia Institute of Technology,452,403,$12.0B,6,Georgia Institute of Technology,Georgia Tech
34,Pennsylvania State University,451,425,$12.7B,-1,Pennsylvania State University,Penn State
35,Dartmouth College,439,410,$20.4B,-4,Dartmouth College,Dartmouth
