University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
Rice University,"Houston, TX",17,"$65,475.00","4,789"
"University of California, Los Angeles","Los Angeles, CA",17,"$48,674(out-of-state) / $14,824(in-state)","33,471"
Vanderbilt University,"Nashville, TN",17,"$71,226.00","7,221"
Carnegie Mellon University,"Pittsburgh, PA",20,"$68,096.00","7,824"
University of Michigan--Ann Arbor,"Ann Arbor, MI",20,"$66,203(out-of-state) / $19,497(in-state)","34,454"
University of Notre Dame,"Notre Dame, IN",20,"$67,607.00","8,880"
Washington University in St. Louis,"St. Louis, MO",20,"$69,594.00","8,220"
Emory University,"Atlanta, GA",24,"$68,056.00",N/A
Georgetown University,"Washington, DC",24,"$71,338.00","7,833"
University of North Carolina--Chapel Hill,"Chapel Hill, NC",26,"$45,228(out-of-state) / $9,096(in-state)","21,075"
University of Virginia,"Charlottesville, VA",26,"$62,923(out-of-state) / $23,897(in-state)","17,901"
University of Southern California,"Los Angeles, CA",28,"$75,162.00","20,630"
University of California San Diego,"La Jolla, CA",29,"$54,858(out-of-state) / $17,256(in-state)","34,955"
University of Florida,"Gainesville, FL",30,"$30,886(out-of-state) / $6,381(in-state)","36,573"
University of Texas--Austin,"Austin, TX",30,"$44,908(out-of-state) / $11,687(in-state)","43,165"
Georgia Institute of Technology,"Atlanta, GA",32,"$35,092(out-of-state) / $12,008(in-state)","20,592"
New York University,"New York, NY",32,"$65,622.00","29,060"
"University of California, Davis","Davis, CA",32,"$50,324(out-of-state) / $16,474(in-state)","32,273"
"University of California, Irvine","Irvine, CA",32,"$49,193(out-of-state) / $15,343(in-state)","30,204"
Boston College,"Chestnut Hill, MA",36,"$73,508.00","9,654"
Tufts University,"Medford, MA",36,"$73,616.00","7,126"
University of Illinois Urbana-Champaign,"Champaign, IL",36,"$38,398(out-of-state) / $18,046(in-state)","37,140"
University of Wisconsin--Madison,"Madison, WI",36,"$44,191(out-of-state) / $12,166(in-state)","39,083"
"University of California, Santa Barbara","Santa Barbara, CA",40,"$49,885(out-of-state) / $16,035(in-state)","23,181"
Ohio State University,"Columbus, OH",41,"$42,423(out-of-state) / $13,641(in-state)","46,815"
Boston University,"Boston, MA",42,"$71,372.00","18,805"
Rutgers University--New Brunswick,"Piscataway, NJ",42,"$39,652(out-of-state) / $18,827(in-state)","37,985"
"University of Maryland, College Park","College Park, MD",42,"$41,186(out-of-state) / $11,809(in-state)","31,133"
University of Washington - Seattle,"Seattle, WA",42,"$44,640(out-of-state) / $13,406(in-state)","40,754"
Lehigh University,"Bethlehem, PA",46,"$67,920.00","5,911"
Northeastern University,"Boston, MA",46,"$69,289.00","17,432"
Purdue University--Main Campus,"West Lafayette, IN",46,"$28,794(out-of-state) / $9,992(in-state)","44,819"
University of Georgia,"Athens, GA",46,"$32,336(out-of-state) / $11,492(in-state)","32,399"
