University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
University of New Hampshire,"Durham, NH",117,"$40,844(out-of-state) / $19,682(in-state)","11,365"
"California State University, Long Beach","Long Beach, CA",127,"$19,856(out-of-state) / $8,312(in-state)","35,843"
University at Albany--SUNY,"Albany, NY",127,"$31,826(out-of-state) / $10,616(in-state)","12,666"
University of Arizona,"Tucson, AZ",127,"$39,903(out-of-state) / $13,573(in-state)","45,025"
University of Maryland Baltimore County,"Baltimore, MD",127,"$31,225(out-of-state) / $13,539(in-state)","10,767"
University of South Carolina,"Columbia, SC",127,"$37,376(out-of-state) / $12,688(in-state)","30,187"
Clark University,"Worcester, MA",132,"$60,740.00","2,266"
City College of New York,"New York, NY",132,"$19,010(out-of-state) / $7,340(in-state)","12,982"
Loyola University Chicago,"Chicago, IL",132,"$56,060.00","12,538"
Thomas Jefferson University,"Philadelphia, PA",132,"$49,450.00","3,772"
University of Alabama at Birmingham,"Birmingham, AL",132,"$29,480(out-of-state) / $12,140(in-state)","11,959"
University of Houston,"Houston, TX",132,"$27,776(out-of-state) / $11,888(in-state)","39,257"
University of Vermont,"Burlington, VT",132,"$47,554(out-of-state) / $19,514(in-state)","12,276"
California State University--Fullerton,"Fullerton, CA",139,"$18,438(out-of-state) / $7,878(in-state)","38,597"
Fairfield University,"Fairfield, CT",139,"$60,410.00","5,391"
University of the Pacific,"Stockton, CA",139,"$58,844.00","3,249"
Virginia Commonwealth University,"Richmond, VA",139,"$39,714(out-of-state) / $17,240(in-state)","21,210"
Clarkson University,"Potsdam, NY",143,"$61,148.00","2,296"
Miami University--Oxford,"Oxford, OH",143,N/A,N/A
Oregon State University,"Corvallis, OR",143,"$40,077(out-of-state) / $15,117(in-state)","31,253"
Touro University,"New York, NY",143,"$23,100.00","4,872"
University of Dayton,"Dayton, OH",143,"$50,610.00","7,737"
University of Kansas,"Lawrence, KS",143,"$30,432(out-of-state) / $12,102(in-state)","22,085"
University of Kentucky,"Lexington, KY",143,"$35,164(out-of-state) / $13,907(in-state)","25,534"
University of North Carolina at Charlotte,"Charlotte, NC",143,"$22,274(out-of-state) / $7,020(in-state)","24,868"
Colorado State University,"Fort Collins, CO",151,"$36,113(out-of-state) / $13,774(in-state)","26,221"
James Madison University,"Harrisonburg, VA",151,"$31,596(out-of-state) / $14,250(in-state)","21,112"
Seattle University,"Seattle, WA",151,"$58,965.00","4,103"
St. John's University,"Queens, NY",151,"$55,640.00","15,640"
University of Massachusetts--Lowell,"Lowell, MA",151,"$37,460(out-of-state) / $17,664(in-state)","12,122"
University of Rhode Island,"Kingston, RI",151,"$38,398(out-of-state) / $17,476(in-state)","14,376"
University of Utah,"Salt Lake City, UT",151,"$35,198(out-of-state) / $10,848(in-state)","28,064"
Kansas State University,"Manhattan, KS",158,"$28,568(out-of-state) / $11,221(in-state)","15,650"
Michigan Technological University,"Houghton, MI",158,"$44,878(out-of-state) / $19,982(in-state)","6,022"
Montclair State University,"Montclair, NJ",158,"$27,570(out-of-state) / $16,854(in-state)","18,712"
Seton Hall University,"South Orange, NJ",158,"$55,040.00","6,146"
Stockton University,"Galloway, NJ",158,"$25,258(out-of-state) / $16,754(in-state)","7,565"
SUNY College of Environmental Science and Forestry,"Syracuse, NY",158,"$23,220(out-of-state) / $9,270(in-state)","1,984"
University of Cincinnati,"Cincinnati, OH",158,"$31,406(out-of-state) / $14,394(in-state)","33,572"
University of Louisville,"Louisville, KY",158,"$29,482(out-of-state) / $13,136(in-state)","17,086"
University of Nebraska -- Lincoln,"Lincoln, NE",158,"$28,764(out-of-state) / $10,434(in-state)","19,701"
University of St. Thomas (MN),"St Paul, MN",158,"$56,460.00","6,305"
University of Tulsa,"Tulsa, OK",158,"$52,026.00","2,852"
Catholic University of America,"Washington, DC",169,"$60,416.00","3,177"
DePaul University,"Chicago, IL",169,"$47,676.00","14,188"
Duquesne University,"Pittsburgh, PA",169,"$51,068.00","5,371"
Florida A&M University,"Tallahassee, FL",169,"$17,725(out-of-state) / $5,785(in-state)","7,890"
Louisiana State University--Baton Rouge,"Baton Rouge, LA",169,N/A,N/A
Mercer University,"Macon, GA",169,"$43,570.00","4,690"
